Event Name,Date,Location,Type,Region,Website
Jo Koy,4/5/2024,Climate Pledge Arena,Theatre,Queen Anne / Seattle Center,https://visitseattle.org/events/jo-koy/
R.A.P. Ferreira,4/5/2024,High Dive,Music,Fremont / Ballard,https://visitseattle.org/events/r-a-p-ferreira/
The Veronicas,4/5/2024,The Showbox,Music,Downtown,https://visitseattle.org/events/the-veronicas/
Weep Wave,4/5/2024,Sunset Tavern,Music,Fremont / Ballard,https://visitseattle.org/events/weep-wave/
XAVI,4/5/2024,Showbox SoDo,Music,Pioneer Square,https://visitseattle.org/events/xavi/
Copland Appalachian Spring,4/4/2024 through 4/6/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/copland-appalachian-spring/
Asher Roth,4/6/2024,Nectar Lounge,Music,Fremont / Ballard,https://visitseattle.org/events/asher-roth/
Peekaboo,4/6/2024,Showbox SoDo,Music,Pioneer Square,https://visitseattle.org/events/peekaboo/
Red Bull Lords of Floor,4/6/2024,WaMu Theater,Dance,Pioneer Square,https://visitseattle.org/events/red-bull-lords-of-floor/
Seattle Sounders FC vs. CF Montreal,4/6/2024,Lumen Field,Sports,Pioneer Square,https://visitseattle.org/events/seattle-sounders-fc-vs-cf-montreal/
Sultan and Shepard,4/6/2024,The Showbox,Music,Downtown,https://visitseattle.org/events/sultan-and-shepard/
Tom Segura,4/6/2024,Climate Pledge Arena,Theatre,Queen Anne / Seattle Center,https://visitseattle.org/events/tom-segura/
La Vaughn Belle: A History of Unruly Returns,Now through 4/7/2024,National Nordic Museum,Museums,Fremont / Ballard,https://visitseattle.org/events/la-vaughn-belle-a-history-of-unruly-returns/
Beetlejuice,4/2/2024 through 4/7/2024,The Paramount Theatre,Theatre,Downtown,https://visitseattle.org/events/beetlejuice/
31 Nights,4/7/2024,High Dive,Music,Fremont / Ballard,https://visitseattle.org/events/31-nights/
Mom Jeans,4/7/2024,Showbox SoDo,Music,Pioneer Square,https://visitseattle.org/events/mom-jeans/
Re + Re-TROS North America Tour,4/7/2024,The Showbox,Music,Downtown,https://visitseattle.org/events/re-re-tros-north-america-tour/
American Broke,4/9/2024,Sunset Tavern,Music,Fremont / Ballard,https://visitseattle.org/events/american-broke/
Seattle Kraken vs. Arizona Coyotes,4/9/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,https://visitseattle.org/events/seattle-kraken-vs-arizona-coyotes/
Alice Phoebe Lou,4/10/2024,The Showbox,Music,Downtown,https://visitseattle.org/events/alice-phoebe-lou/
All of Our Cornbread,4/10/2024,Sunset Tavern,Music,Fremont / Ballard,https://visitseattle.org/events/all-of-our-cornbread/
Hot Rod,4/10/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,https://visitseattle.org/events/hot-rod/
Hurricane Dreamz,4/10/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,https://visitseattle.org/events/hurricane-dreamz/
Seattle Kraken vs. San Jose Sharks,4/11/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,https://visitseattle.org/events/seattle-kraken-vs-san-jose-sharks/
Set It Off,4/12/2024,The Showbox,Music,Downtown,https://visitseattle.org/events/set-it-off/
The Percussion: Sounds from Home,4/12/2024 through 4/13/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/the-percussion-sounds-from-home/
Afrobeats to the World,4/13/2024,The Crocodile,Music,Downtown,https://visitseattle.org/events/afrobeats-to-the-world/
Squirt,4/13/2024,Slim's Last Chance,Music,South Seattle,https://visitseattle.org/events/squirt/
Tina Fey and Amy Poehler: Restless Leg Tour,4/13/2024,WaMu Theater,Theatre,Pioneer Square,https://visitseattle.org/events/tina-fey-and-amy-poehler-restless-leg-tour/
Honoring 50 Years of Papunya Tula Painting,Now through 4/14/2024,Seattle Art Museum,Museums,Downtown,https://visitseattle.org/events/honoring-50-years-of-papunya-tula-painting/
The Moors,3/22/2024 through 4/14/2024,Seattle Public Theater,Theatre,Wallingford / Greenlake,https://visitseattle.org/events/the-moors/
Mahler Symphony No. 3,4/11/2024 through 4/14/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/mahler-symphony-no-3/
Festal: Seattle Cherry Blossom & Japanese Cultural Festival,4/12/2024 through 4/14/2024,Seattle Center,Festivals & Special Events,Queen Anne / Seattle Center,https://visitseattle.org/events/festal-seattle-cherry-blossom-japanese-cultural-festival/
Best of the Northwest Spring Show,4/13/2024 through 4/14/2024,Magnuson Park,Festivals & Special Events,University District,https://visitseattle.org/events/best-of-the-northwest-spring-show/
An Evening with Jinjoo Cho,4/19/2024,415 Westlake,Music,Queen Anne / Seattle Center,https://visitseattle.org/events/an-evening-with-jinjoo-cho/
Dvorak Symphony No. 6,4/18/2024 through 4/20/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/dvorak-symphony-no-6/
Seattle Sounders FC vs. Vancouver Whitecaps FC,4/20/2024,Lumen Field,Sports,Pioneer Square,https://visitseattle.org/events/seattle-sounders-fc-vs-vancouver-whitecaps-fc/
The Seasons’ Canon,4/12/2024 through 4/21/2024,Marion Oliver McCaw Hall,Dance,Queen Anne / Seattle Center,https://visitseattle.org/events/the-seasons-canon/
