Event Name,Date,Location,Type,Region,Website,Latitude,Longitude,ShortForecast
Celebrate Holi! Spring Festival of Colors from South Asia,3/24/2024,Burke Museum,Museums,University District,https://visitseattle.org/events/celebrate-holi-spring-festival-of-colors-from-south-asia/,47.6605211,-122.31156049949824,Weather forecast not found for specific date
Festal: Seattle’s French Fest,3/24/2024,Seattle Center,Festivals & Special Events,Queen Anne / Seattle Center,https://visitseattle.org/events/festal-seattles-french-fest/,47.621255,-122.34974101387942,Weather forecast not found for specific date
Kathy Ross: Serious Fun,3/24/2024,Bainbridge Island Museum of Art,Museums,West,https://visitseattle.org/events/kathy-ross-serious-fun/,47.6251322,-122.51453295865404,Weather forecast not found for specific date
Seattle Kraken vs. Montreal Canadiens,3/24/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,https://visitseattle.org/events/seattle-kraken-vs-montreal-canadiens/,47.6219014,-122.353990491486,Weather forecast not found for specific date
Ann Annie,3/25/2024,High Dive,Music,Fremont / Ballard,https://visitseattle.org/events/ann-annie/,41.7111625,-93.6318959,Weather forecast not found for specific date
Jonah Kagen,3/25/2024,Barboza,Music,Capitol Hill / Central District,https://visitseattle.org/events/jonah-kagen/,-13.248885,-41.0275842,Weather API response code: 404
Kim Dracula,3/25/2024,Neumos,Music,Capitol Hill / Central District,https://visitseattle.org/events/kim-dracula/,47.613954,-122.3196108,Weather forecast not found for specific date
Tea Obreht,3/25/2024,Elliott Bay Book Company,Readings & Lectures,Capitol Hill / Central District,https://visitseattle.org/events/tea-obreht/,47.6146657,-122.319677,Weather forecast not found for specific date
Seattle Kraken vs. Anaheim Ducks,3/26/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,https://visitseattle.org/events/seattle-kraken-vs-anaheim-ducks/,47.6219014,-122.353990491486,Weather forecast not found for specific date
Omar Sosa Quarteto Americanos,3/26/2024 through 3/27/2024,Dimitriou's Jazz Alley,Music,Downtown,https://visitseattle.org/events/omar-sosa-quarteto-americanos/,47.6148163,-122.339691,Weather forecast not found for specific date
Jazz Underground,3/27/2024,The Royal Room,Music,South Seattle,https://visitseattle.org/events/jazz-underground/,32.2275723,-110.9685178,Weather forecast not found for specific date
Paris Shadows,3/27/2024,High Dive,Music,Fremont / Ballard,https://visitseattle.org/events/paris-shadows/,41.7111625,-93.6318959,Weather forecast not found for specific date
Andre Nikatina,3/28/2024,Nectar Lounge,Music,Fremont / Ballard,https://visitseattle.org/events/andre-nikatina/,47.6523876,-122.3538541520202,Weather forecast not found for specific date
Foo Gazzi,3/28/2024,High Dive,Music,Fremont / Ballard,https://visitseattle.org/events/foo-gazzi/,41.7111625,-93.6318959,Weather forecast not found for specific date
Health,3/28/2024,The Showbox,Music,Downtown,https://visitseattle.org/events/health/,47.6085136,-122.3394726,Weather forecast not found for specific date
Seattle Kraken vs. Anaheim Ducks,3/28/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,https://visitseattle.org/events/seattle-kraken-vs-anaheim-ducks-2/,47.6219014,-122.353990491486,Weather forecast not found for specific date
Andy Coe Band,3/29/2024,Nectar Lounge,Music,Fremont / Ballard,https://visitseattle.org/events/andy-coe-band/,47.6523876,-122.3538541520202,Weather forecast not found for specific date
DJ DAN with Max Gain,3/29/2024,High Dive,Music,Fremont / Ballard,https://visitseattle.org/events/dj-dan-with-max-gain/,41.7111625,-93.6318959,Weather forecast not found for specific date
Hamdi,3/29/2024,The Showbox,Music,Downtown,https://visitseattle.org/events/hamdi/,47.6085136,-122.3394726,Weather forecast not found for specific date
Loud Luxury,3/29/2024,Showbox SoDo,Music,Pioneer Square,https://visitseattle.org/events/loud-luxury/,47.5880461,-122.333928,Weather forecast not found for specific date
SAM Remix,3/29/2024,Seattle Art Museum,Museums,Downtown,https://visitseattle.org/events/sam-remix/,47.6077008,-122.3385575,Weather forecast not found for specific date
Tim McGraw,3/29/2024,Climate Pledge Arena,Music,Queen Anne / Seattle Center,https://visitseattle.org/events/tim-mcgraw/,47.6219014,-122.353990491486,Weather forecast not found for specific date
Fragments of the Sea II,3/7/2024 through 3/30/2024,Gallery 110,Visual Arts & Galleries,Pioneer Square,https://visitseattle.org/events/fragments-of-the-sea-ii/,47.6012826,-122.330069,Weather forecast not found for specific date
Harold and the Purple Crayon,3/23/2024 through 3/30/2024,Marion Oliver McCaw Hall,Dance,Queen Anne / Seattle Center,https://visitseattle.org/events/harold-and-the-purple-crayon/,47.62397705,-122.35038850536958,Weather forecast not found for specific date
Cowboy Disco,3/30/2024,High Dive,Music,Fremont / Ballard,https://visitseattle.org/events/cowboy-disco/,41.7111625,-93.6318959,Weather forecast not found for specific date
Danny Brown,3/30/2024,The Showbox,Music,Downtown,https://visitseattle.org/events/danny-brown/,47.6085136,-122.3394726,Weather forecast not found for specific date
Monster Jam,3/30/2024,Lumen Field,Festivals & Special Events,Pioneer Square,https://visitseattle.org/events/monster-jam/,47.5953459,-122.33164431196111,Weather forecast not found for specific date
Seattle Kraken vs. Dallas Stars,3/30/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,https://visitseattle.org/events/seattle-kraken-vs-dallas-stars/,47.6219014,-122.353990491486,Weather forecast not found for specific date
Timmy Trumpet’s Freakshow,3/30/2024,Showbox SoDo,Music,Pioneer Square,https://visitseattle.org/events/timmy-trumpets-freakshow/,47.5880461,-122.333928,Weather forecast not found for specific date
Illuminate: Glass Art for Early Learners,Now through 3/31/2024,Museum of Glass,Museums,South,https://visitseattle.org/events/illuminate-glass-art-for-early-learners/,47.24582405,-122.43381971536058,Weather forecast not found for specific date
Al Young’s 1970 Dodge Challenger Drag Racer,Now through 3/31/2024,Museum of History & Industry,Museums,Queen Anne / Seattle Center,https://visitseattle.org/events/al-youngs-1970-dodge-challenger-drag-racer/,47.6275114,-122.3367506,Weather forecast not found for specific date
Shine On Seattle,Now through 3/31/2024,Pioneer Square,Festivals & Special Events,Pioneer Square,https://visitseattle.org/events/shine-on-seattle/,45.5189007,-122.67929660431365,Weather forecast not found for specific date
Exhibition Tour: Calder,Now through 3/31/2024,Seattle Art Museum,Museums,Downtown,https://visitseattle.org/events/exhibition-tour-calder/,47.6077008,-122.3385575,Weather forecast not found for specific date
